"","year","ccode","intlwar"
"541",1988,660,1
"542",1989,660,1
"543",1990,660,1
"544",1991,660,1
"545",1992,660,1
"546",1993,660,1
"547",1994,660,1
"548",1995,660,1
"549",1996,660,1
"550",1997,660,1
"551",1998,660,1
"552",1999,660,1
"553",2000,660,1
"554",2001,660,1
"555",2002,660,1
"556",2003,660,1
"557",2004,660,1
"558",2005,660,1
"559",2006,660,1
"560",2007,660,1
"561",2008,660,1
"562",2009,660,1
"563",2010,660,1
"564",2011,660,1
"565",2012,660,1
"566",2013,660,1
"567",2014,660,1
"568",2015,660,1
"569",2016,660,1
"570",1948,652,1
"571",1949,652,1
"572",1950,652,1
"573",1951,652,1
"574",1952,652,1
"575",1953,652,1
"576",1954,652,1
"577",1955,652,1
"578",1956,652,1
"579",1957,652,1
"580",1958,652,1
"581",1959,652,1
"582",1960,652,1
"583",1961,652,1
"584",1962,652,1
"585",1963,652,1
"586",1964,652,1
"587",1965,652,1
"588",1966,652,1
"589",1967,652,1
"590",1968,652,1
"591",1969,652,1
"592",1970,652,1
"593",1971,652,1
"594",1972,652,1
"595",1973,652,1
"596",1974,652,1
"597",1975,652,1
"598",1976,652,1
"599",1977,652,1
"600",1978,652,1
"601",1979,652,1
"602",1980,652,1
"603",1981,652,1
"604",1982,652,1
"605",1983,652,1
"606",1984,652,1
"607",1985,652,1
"608",1986,652,1
"609",1987,652,1
"610",1988,652,1
"611",1989,652,1
"612",1990,652,1
"613",1991,652,1
"614",1992,652,1
"615",1993,652,1
"616",1994,652,1
"617",1995,652,1
"618",1996,652,1
"619",1997,652,1
"620",1998,652,1
"621",1999,652,1
"622",2000,652,1
"623",2001,652,1
"624",2002,652,1
"625",2003,652,1
"626",2004,652,1
"627",2005,652,1
"628",2006,652,1
"629",2007,652,1
"630",2008,652,1
"631",2009,652,1
"632",2010,652,1
"633",2011,652,1
"634",2012,652,1
"635",2013,652,1
"636",2014,652,1
"637",2015,652,1
"638",2016,652,1
"649",1949,710,1
"650",1950,710,1
"651",1951,710,1
"652",1952,710,1
"653",1953,710,1
"654",1954,710,1
"655",1955,710,1
"656",1956,710,1
"657",1957,710,1
"658",1958,710,1
"659",1959,710,1
"660",1960,710,1
"661",1961,710,1
"662",1962,710,1
"663",1963,710,1
"664",1964,710,1
"665",1965,710,1
"666",1966,710,1
"667",1967,710,1
"668",1968,710,1
"669",1969,710,1
"670",1970,710,1
"671",1971,710,1
"672",1972,710,1
"673",1973,710,1
"674",1974,710,1
"675",1975,710,1
"676",1976,710,1
"677",1977,710,1
"678",1978,710,1
"679",1979,710,1
"680",1980,710,1
"681",1981,710,1
"682",1982,710,1
"683",1983,710,1
"684",1984,710,1
"685",1985,710,1
"686",1986,710,1
"687",1987,710,1
"688",1988,710,1
"689",1989,710,1
"690",1990,710,1
"691",1991,710,1
"692",1992,710,1
"693",1993,710,1
"694",1994,710,1
"695",1995,710,1
"696",1996,710,1
"697",1997,710,1
"698",1998,710,1
"699",1999,710,1
"700",2000,710,1
"701",2001,710,1
"702",2002,710,1
"703",2003,710,1
"704",2004,710,1
"705",2005,710,1
"706",2006,710,1
"707",2007,710,1
"708",2008,710,1
"709",2009,710,1
"710",2010,710,1
"711",2011,710,1
"712",2012,710,1
"713",2013,710,1
"714",2014,710,1
"715",2015,710,1
"716",2016,710,1
"735",1949,731,1
"736",1950,731,1
"737",1951,731,1
"738",1952,731,1
"739",1953,731,1
"740",1954,731,1
"741",1955,731,1
"742",1956,731,1
"743",1957,731,1
"744",1958,731,1
"745",1959,731,1
"746",1960,731,1
"747",1961,731,1
"748",1962,731,1
"749",1963,731,1
"750",1964,731,1
"751",1965,731,1
"752",1966,731,1
"753",1967,731,1
"754",1968,731,1
"755",1969,731,1
"756",1970,731,1
"757",1971,731,1
"758",1972,731,1
"759",1973,731,1
"760",1974,731,1
"761",1975,731,1
"762",1976,731,1
"763",1977,731,1
"764",1978,731,1
"765",1979,731,1
"766",1980,731,1
"767",1981,731,1
"768",1982,731,1
"769",1983,731,1
"770",1984,731,1
"771",1985,731,1
"772",1986,731,1
"773",1987,731,1
"774",1988,731,1
"775",1989,731,1
"776",1990,731,1
"777",1991,731,1
"778",1992,731,1
"779",1993,731,1
"780",1994,731,1
"781",1995,731,1
"782",1996,731,1
"783",1997,731,1
"784",1998,731,1
"785",1999,731,1
"786",2000,731,1
"787",2001,731,1
"788",2002,731,1
"789",2003,731,1
"790",2004,731,1
"791",2005,731,1
"792",2006,731,1
"793",2007,731,1
"794",2008,731,1
"795",2009,731,1
"796",2010,731,1
"797",2011,731,1
"798",2012,731,1
"799",2013,731,1
"800",2014,731,1
"801",2015,731,1
"802",2016,731,1
"876",1956,310,1
"877",1956,220,1
"878",1956,666,1
"879",1956,200,1
"880",1957,91,1
"881",1964,530,1
"883",1965,530,1
"884",1966,530,1
"885",1967,530,1
"886",1968,530,1
"887",1969,530,1
"888",1970,530,1
"889",1971,530,1
"890",1972,530,1
"891",1973,530,1
"892",1974,530,1
"893",1975,530,1
"894",1976,530,1
"895",1977,530,1
"896",1978,530,1
"897",1979,530,1
"898",1980,530,1
"899",1981,530,1
"900",1982,530,1
"901",1983,530,1
"902",1984,530,1
"903",1985,530,1
"904",1986,530,1
"905",1987,530,1
"906",1988,530,1
"907",1989,530,1
"908",1990,530,1
"909",1991,530,1
"910",1992,530,1
"911",1993,530,1
"912",1994,530,1
"913",1995,530,1
"914",1996,530,1
"915",1997,530,1
"916",1998,530,1
