"","year","ccode","intlwar"
"2260",1999,820,1
"2261",2000,820,1
"2262",2001,820,1
"2263",2002,820,1
"2264",2003,820,1
"2265",2004,820,1
"2266",2005,820,1
"2267",2006,820,1
"2268",2007,820,1
"2269",2008,820,1
"2270",2009,820,1
"2271",2010,820,1
"2272",2011,820,1
"2273",2012,820,1
"2274",2013,820,1
"2275",2014,820,1
"2276",2015,820,1
"2277",2016,820,1
"2283",1965,816,1
"2284",1966,816,1
"2285",1967,816,1
"2286",1968,816,1
"2287",1969,816,1
"2288",1970,816,1
"2289",1971,816,1
"2290",1972,816,1
"2291",1973,816,1
"2292",1974,816,1
"2293",1975,816,1
"2294",1976,816,1
"2295",1977,816,1
"2296",1978,816,1
"2297",1979,816,1
"2298",1980,816,1
"2299",1981,816,1
"2300",1982,816,1
"2301",1983,816,1
"2302",1984,816,1
"2303",1985,816,1
"2304",1986,816,1
"2305",1987,816,1
"2306",1988,816,1
"2307",1989,816,1
"2308",1990,816,1
"2309",1991,816,1
"2310",1992,816,1
"2311",1993,816,1
"2312",1994,816,1
"2313",1995,816,1
"2314",1996,816,1
"2315",1997,816,1
"2316",1998,816,1
"2317",1999,816,1
"2318",2000,816,1
"2319",2001,816,1
"2320",2002,816,1
"2321",2003,816,1
"2322",2004,816,1
"2323",2005,816,1
"2324",2006,816,1
"2325",2007,816,1
"2326",2008,816,1
"2327",2009,816,1
"2328",2010,816,1
"2329",2011,816,1
"2330",2012,816,1
"2331",2013,816,1
"2332",2014,816,1
"2333",2015,816,1
"2334",2016,816,1
"2346",1975,800,1
"2347",1976,800,1
"2348",1977,800,1
"2349",1978,800,1
"2350",1979,800,1
"2351",1980,800,1
"2352",1981,800,1
"2353",1982,800,1
"2354",1983,800,1
"2355",1984,800,1
"2356",1985,800,1
"2357",1986,800,1
"2358",1987,800,1
"2359",1988,800,1
"2360",1989,800,1
"2361",1990,800,1
"2362",1991,800,1
"2363",1992,800,1
"2364",1993,800,1
"2365",1994,800,1
"2366",1995,800,1
"2367",1996,800,1
"2368",1997,800,1
"2369",1998,800,1
"2370",1999,800,1
"2371",2000,800,1
"2372",2001,800,1
"2373",2002,800,1
"2374",2003,800,1
"2375",2004,800,1
"2376",2005,800,1
"2377",2006,800,1
"2378",2007,800,1
"2379",2008,800,1
"2380",2009,800,1
"2381",2010,800,1
"2382",2011,800,1
"2383",2012,800,1
"2384",2013,800,1
"2385",2014,800,1
"2386",2015,800,1
"2387",2016,800,1
"2438",1969,775,1
"2439",1969,365,1
"2440",1969,91,1
"2441",1972,678,1
"2443",1973,678,1
"2444",1974,678,1
"2445",1975,678,1
"2446",1976,678,1
"2447",1977,678,1
"2448",1978,678,1
"2449",1979,678,1
"2450",1974,640,1
"2640",1983,475,1
"2641",1983,2,1
"2642",1985,432,1
"2685",1987,620,1
"2686",1989,2,1
"2687",1990,690,1
"2688",1991,690,1
"2689",1992,690,1
"2690",1993,690,1
"2691",1994,690,1
"2692",1995,690,1
"2693",1996,690,1
"2694",1997,690,1
"2695",1998,690,1
"2696",1999,690,1
"2697",2000,690,1
"2698",2001,690,1
"2699",2002,690,1
"2700",2003,690,1
"2701",2004,690,1
"2702",2005,690,1
"2703",2006,690,1
"2704",2007,690,1
"2705",2008,690,1
"2706",2009,690,1
"2707",2010,690,1
"2708",2011,690,1
"2709",2012,690,1
"2710",2013,690,1
"2711",2014,690,1
"2712",2015,690,1
"2713",2016,690,1
"2716",1995,135,1
"2717",1994,475,1
"2718",1995,475,1
"2719",1996,475,1
"2743",1978,500,1
"2744",1979,365,1
"2800",2012,625,1
"2802",2001,2,1
