"","year","ccode","civilwar"
"11249",2012,702,1
"11250",2013,702,1
"11251",2014,702,1
"11252",2015,702,1
"11253",2016,702,1
"11373",1994,70,1
"11375",1995,70,1
"11376",1996,70,1
"11480",1995,436,1
"11481",1997,581,1
"11482",1993,484,1
"11484",1994,484,1
"11485",1995,484,1
"11486",1996,484,1
"11487",1997,484,1
"11488",1998,484,1
"11489",1999,484,1
"11490",2000,484,1
"11491",2001,484,1
"11492",2002,484,1
"11493",2003,484,1
"11494",2004,484,1
"11495",2005,484,1
"11496",2006,484,1
"11497",2007,484,1
"11498",2008,484,1
"11499",2009,484,1
"11500",2010,484,1
"11501",2011,484,1
"11502",2012,484,1
"11503",2013,484,1
"11504",2014,484,1
"11505",2015,484,1
"11506",2016,484,1
"11548",1998,404,1
"11549",1999,404,1
"11550",2000,404,1
"11551",2001,404,1
"11552",2002,404,1
"11553",2003,404,1
"11554",2004,404,1
"11555",2005,404,1
"11556",2006,404,1
"11557",2007,404,1
"11558",2008,404,1
"11559",2009,404,1
"11560",2010,404,1
"11561",2011,404,1
"11562",2012,404,1
"11563",2013,404,1
"11564",2014,404,1
"11565",2015,404,1
"11566",2016,404,1
"11569",1998,570,1
"11776",1999,704,1
"11777",2000,704,1
"11778",2001,704,1
"11779",2002,704,1
"11780",2003,704,1
"11781",2004,704,1
"11782",2005,704,1
"11783",2006,704,1
"11784",2007,704,1
"11785",2008,704,1
"11786",2009,704,1
"11787",2010,704,1
"11788",2011,704,1
"11789",2012,704,1
"11790",2013,704,1
"11791",2014,704,1
"11792",2015,704,1
"11793",2016,704,1
"11802",2001,482,1
"11803",2002,482,1
"11804",2003,482,1
"11805",2004,482,1
"11806",2005,482,1
"11807",2006,482,1
"11808",2007,482,1
"11809",2008,482,1
"11810",2009,482,1
"11811",2010,482,1
"11812",2011,482,1
"11813",2012,482,1
"11814",2013,482,1
"11815",2014,482,1
"11816",2015,482,1
"11817",2016,482,1
"11855",2000,343,1
"11856",2001,343,1
"11859",2001,2,1
"11860",2002,2,1
"11861",2003,2,1
"11862",2004,2,1
"11863",2005,2,1
"11864",2006,2,1
"11865",2007,2,1
"11866",2008,2,1
"11867",2009,2,1
"11868",2010,2,1
"11869",2011,2,1
"11870",2012,2,1
"11871",2013,2,1
"11872",2014,2,1
"11873",2015,2,1
"11874",2016,2,1
"11875",2002,437,1
"11876",2003,437,1
"11877",2004,437,1
"11878",2005,437,1
"11879",2006,437,1
"11880",2007,437,1
"11881",2008,437,1
"11882",2009,437,1
"11883",2010,437,1
"11884",2011,437,1
"11885",2012,437,1
"11886",2013,437,1
"11887",2014,437,1
"11888",2015,437,1
"11889",2016,437,1
"12136",1975,435,1
"12137",1976,435,1
"12138",1977,435,1
"12139",1978,435,1
"12140",1979,435,1
"12141",1980,435,1
"12142",1981,435,1
"12143",1982,435,1
"12144",1983,435,1
"12145",1984,435,1
"12146",1985,435,1
"12147",1986,435,1
"12148",1987,435,1
"12149",1988,435,1
"12150",1989,435,1
"12151",1990,435,1
"12152",1991,435,1
"12153",1992,435,1
"12154",1993,435,1
"12155",1994,435,1
"12156",1995,435,1
"12157",1996,435,1
"12158",1997,435,1
"12159",1998,435,1
"12160",1999,435,1
"12161",2000,435,1
"12162",2001,435,1
"12163",2002,435,1
"12164",2003,435,1
"12165",2004,435,1
"12166",2005,435,1
"12167",2006,435,1
"12168",2007,435,1
"12169",2008,435,1
"12170",2009,435,1
"12171",2010,435,1
"12172",2011,435,1
"12173",2012,435,1
"12174",2013,435,1
"12175",2014,435,1
"12176",2015,435,1
"12177",2016,435,1
"12212",1991,436,1
"12213",1992,436,1
"12214",1993,436,1
"12217",1996,436,1
"12218",1997,436,1
"12219",1998,436,1
"12220",1999,436,1
"12221",2000,436,1
"12222",2001,436,1
"12223",2002,436,1
"12224",2003,436,1
"12225",2004,436,1
"12226",2005,436,1
"12227",2006,436,1
"12228",2007,436,1
"12229",2008,436,1
"12230",2009,436,1
"12231",2010,436,1
"12232",2011,436,1
"12233",2012,436,1
"12234",2013,436,1
"12235",2014,436,1
"12236",2015,436,1
"12237",2016,436,1
"12436",2011,626,1
"12437",2012,626,1
"12438",2013,626,1
"12439",2014,626,1
"12440",2015,626,1
"12441",2016,626,1
"12448",2011,620,1
"12450",2012,620,1
"12451",2013,620,1
"12452",2014,620,1
"12453",2015,620,1
"12454",2016,620,1
"12680",2014,369,1
"12683",2015,369,1
"12684",2016,369,1
"12753",2015,501,1
"12754",2016,501,1
"12772",2016,663,1
